ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
281,1,177,2,2,2,-,acept,not furnished,R$0,"R$6,000",R$342,R$91
282,1,177,4,5,4,12,acept,not furnished,"R$1,500","R$9,200",R$959,R$117
283,1,18,1,1,0,-,acept,not furnished,R$0,"R$1,710",R$0,R$22
284,1,200,3,4,2,-,acept,not furnished,R$0,"R$2,900","R$1,100",R$44
285,1,45,1,1,1,1,not acept,furnished,"R$3,000","R$5,520",R$0,R$70
286,0,70,2,1,1,3,acept,not furnished,R$220,R$750,R$43,R$10
287,1,66,3,2,1,9,acept,not furnished,R$708,"R$2,179",R$13,R$28
288,1,48,2,1,0,2,acept,not furnished,R$90,"R$1,150",R$90,R$15
289,1,515,5,4,3,5,acept,not furnished,"R$5,600","R$15,000",R$250,R$191
290,1,55,2,2,1,7,acept,not furnished,R$650,"R$2,000",R$0,R$26
291,1,350,4,5,2,-,acept,not furnished,R$0,"R$5,000",R$325,R$76
292,1,260,3,3,3,8,acept,furnished,"R$2,210","R$5,000",R$842,R$64
293,1,78,2,1,1,7,acept,not furnished,R$645,"R$2,000",R$35,R$26
294,1,35,1,1,0,6,acept,furnished,R$420,"R$1,780",R$0,R$23
295,1,106,2,1,2,-,not acept,not furnished,R$0,"R$2,100",R$110,R$32
296,1,500,3,3,5,-,acept,furnished,R$0,"R$15,000","R$1,125",R$226
297,1,38,1,1,0,-,not acept,not furnished,Sem info,"R$1,650",R$0,R$25
298,1,153,2,2,1,15,acept,furnished,"R$1,500","R$11,900",R$350,R$151
299,1,64,2,2,2,5,acept,not furnished,R$830,"R$1,600",R$205,R$21
300,1,260,3,4,4,-,acept,not furnished,R$0,"R$4,500",R$0,R$68
301,0,50,1,1,1,11,acept,not furnished,"R$1,500",R$500,R$105,R$7
302,1,170,3,2,1,14,acept,furnished,"R$1,700","R$4,500",R$85,R$58
303,1,120,2,2,2,15,acept,furnished,"R$1,043","R$4,880",R$264,R$62
304,1,700,4,5,2,10,acept,furnished,"R$3,000","R$8,000",R$402,R$102
305,1,270,5,7,2,-,acept,not furnished,R$0,"R$3,978",R$89,R$60
306,1,40,1,1,0,6,acept,not furnished,R$890,"R$3,463",R$0,R$32
307,1,640,4,4,4,12,acept,furnished,"R$5,400","R$10,200","R$1,584",R$130
308,1,40,1,1,0,-,acept,not furnished,R$0,R$980,R$59,R$15
309,1,40,2,1,0,3,acept,not furnished,R$348,"R$1,100",R$0,R$14
